File_Type,GValue
"3248,25","158,878","157,123","115,730","157,864","155,810","161,012","164,644","159,935","155,657","156,787","158,643","166,069","169,760","158,594","164,875","164,378","165,509","171,734","7,859","9,620","10,577","9,979","9,228","8,398",,mtp03_20210509_231839.bmp
"3278,25","158,559","157,162","114,169","157,361","155,738","160,736","164,589","159,842","155,497","156,794","158,602","165,906","169,727","158,418","164,799","164,335","165,650","171,762","7,879","9,612","10,606","9,967","9,209","8,356",,mtp03_20210509_234840.bmp
"3308,25","158,715","157,174","114,754","157,509","155,453","160,676","164,299","159,827","155,234","156,604","158,321","165,732","169,535","158,175","164,669","164,096","165,374","171,705","7,923","9,626","10,659","9,976","9,182","8,379",,mtp03_20210510_001839.bmp
"3338,25","158,635","156,883","114,374","157,365","155,282","160,347","164,143","159,635","155,300","156,551","158,273","165,593","169,704","158,001","164,710","164,093","165,363","171,542","7,886","9,615","10,606","9,972","9,242","8,430",,mtp03_20210510_004839.bmp
"3368,25","158,685","156,464","113,542","156,920","154,904","160,163","164,152","159,577","154,991","156,335","158,256","165,691","169,446","157,305","164,353","163,839","165,255","171,722","7,871","9,617","10,615","9,952","9,243","8,369",,mtp03_20210510_011839.bmp
"3398,25","158,515","156,458","113,634","156,482","154,642","159,601","163,652","159,225","154,871","156,235","158,048","165,439","169,463","157,101","164,455","163,886","165,166","171,241","7,916","9,667","10,621","9,977","9,256","8,507",,mtp03_20210510_014840.bmp
"3428,25","158,347","156,400","113,104","156,678","154,420","159,348","163,727","159,156","154,819","156,115","157,801","165,236","169,433","157,123","164,268","163,740","165,049","171,193","7,882","9,666","10,570","9,966","9,225","8,441",,mtp03_20210510_021839.bmp
"3458,25","158,281","156,245","112,087","156,122","154,079","159,025","163,442","158,937","154,404","155,969","157,619","165,181","169,102","156,949","164,155","163,730","164,893","171,033","7,922","9,694","10,575","9,969","9,280","8,513",,mtp03_20210510_024839.bmp
"3488,25","158,396","156,211","111,204","155,802","154,008","158,647","163,502","158,487","154,301","155,762","157,590","165,154","169,323","156,278","164,091","163,516","164,788","171,125","7,907","9,689","10,639","9,984","9,248","8,502",,mtp03_20210510_031839.bmp
"3518,25","158,237","156,046","111,796","155,793","153,527","157,906","162,677","158,554","154,162","155,582","157,528","165,098","168,906","155,954","163,935","163,476","164,700","171,216","7,934","9,644","10,604","9,985","9,275","8,480",,mtp03_20210510_034838.bmp
"3548,25","158,155","156,202","110,912","155,529","153,149","157,686","163,242","158,138","153,868","155,440","157,229","164,798","169,161","155,937","163,869","163,272","164,556","171,099","7,927","9,618","10,581","9,945","9,192","8,388",,mtp03_20210510_041839.bmp
"3578,25","158,007","156,070","110,444","154,741","152,782","157,451","162,743","158,052","153,488","155,170","157,044","164,770","168,944","155,616","163,687","163,166","164,478","170,753","7,910","9,636","10,577","9,928","9,244","8,439",,mtp03_20210510_044839.bmp
"3608,25","157,925","155,830","110,040","154,806","152,696","157,005","162,652","157,818","153,322","154,890","156,760","164,647","168,793","155,053","163,418","162,909","164,175","170,836","7,856","9,598","10,579","9,925","9,171","8,394",,mtp03_20210510_051839.bmp
"3638,25","157,947","155,700","110,061","154,357","151,952","156,396","162,369","157,702","153,364","154,895","156,621","164,313","168,877","154,810","163,428","162,817","164,052","170,666","7,928","9,657","10,607","9,951","9,237","8,455",,mtp03_20210510_054839.bmp
"3668,25","157,932","155,569","109,642","154,372","151,889","156,268","162,242","157,678","153,125","154,839","156,387","164,525","168,751","154,638","163,251","162,899","164,055","170,658","7,885","9,658","10,591","9,930","9,226","8,436",,mtp03_20210510_061840.bmp
"3698,25","158,086","155,709","109,968","153,748","151,056","155,630","161,967","157,557","152,912","154,473","156,110","164,276","168,406","153,849","163,134","162,624","163,880","170,530","7,893","9,651","10,606","9,989","9,255","8,480",,mtp03_20210510_064840.bmp
"3728,25","158,029","155,685","109,588","153,032","151,120","154,553","161,151","157,463","152,746","154,302","155,787","163,936","168,456","153,979","162,879","162,602","163,716","170,356","7,906","9,672","10,605","9,932","9,236","8,400",,mtp03_20210510_071840.bmp
"3758,25","157,963","155,626","109,523","153,078","150,834","154,690","161,372","157,169","152,467","154,106","155,612","164,006","168,433","153,327","162,897","162,507","163,715","170,332","7,939","9,644","10,578","9,964","9,224","8,466",,mtp03_20210510_074841.bmp
"3788,25","157,788","155,579","108,731","152,639","149,783","154,059","161,253","156,800","152,240","153,990","155,826","163,611","168,430","153,044","162,764","162,513","163,574","170,215","7,929","9,684","10,620","9,990","9,241","8,479",,mtp03_20210510_081839.bmp
"3818,25","157,484","155,697","108,932","151,633","149,974","153,612","160,989","156,761","152,030","153,827","155,381","163,642","168,246","153,084","162,519","162,359","163,337","170,254","7,889","9,651","10,588","9,962","9,261","8,435",,mtp03_20210510_084840.bmp
"3848,25","157,681","155,576","108,965","151,662","149,917","151,655","160,919","156,437","151,503","153,558","155,238","163,567","168,136","152,924","162,389","162,228","163,390","170,288","7,899","9,686","10,601","9,973","9,237","8,485",,mtp03_20210510_091839.bmp
"3878,25","157,265","155,648","108,671","150,864","148,898","152,318","160,428","156,067","151,885","153,196","154,951","163,449","168,075","153,048","162,403","162,143","163,182","170,256","7,879","9,615","10,606","9,970","9,206","8,390",,mtp03_20210510_094841.bmp
"3908,25","157,648","155,532","108,083","150,166","148,798","151,120","160,393","155,853","151,611","153,059","155,032","162,921","167,873","152,420","162,273","162,044","163,123","170,162","7,944","9,672","10,593","9,993","9,262","8,485",,mtp03_20210510_101839.bmp
"3938,25","157,669","155,852","108,393","150,508","148,101","151,309","160,398","155,908","151,171","152,765","154,716","162,547","168,024","152,588","162,101","162,001","162,998","169,976","7,863","9,636","10,600","9,927","9,199","8,387",,mtp03_20210510_104841.bmp
"3968,25","157,703","155,652","107,581","150,391","148,106","150,966","160,057","155,825","150,983","152,790","154,429","162,731","167,835","152,080","162,071","161,876","162,959","169,869","7,945","9,644","10,633","9,984","9,273","8,428",,mtp03_20210510_111841.bmp
"3998,25","157,540","155,566","108,395","149,606","147,918","150,450","159,671","155,037","150,724","152,435","154,012","162,211","167,617","151,769","161,717","161,765","162,680","169,773","7,952","9,631","10,569","9,959","9,289","8,462",,mtp03_20210510_114841.bmp
"4028,25","157,515","155,625","107,893","149,842","147,483","148,976","159,407","154,677","150,537","152,112","154,099","162,002","167,484","151,639","161,835","161,909","162,577","169,682","7,925","9,639","10,575","9,963","9,275","8,468",,mtp03_20210510_121840.bmp
"4058,25","157,550","155,619","107,632","149,530","147,439","149,209","159,497","154,682","150,250","151,689","153,815","161,785","167,310","151,414","161,626","161,664","162,666","169,863","7,928","9,624","10,589","9,952","9,243","8,390",,mtp03_20210510_124841.bmp
"4088,25","157,571","155,562","106,243","149,516","147,207","148,503","158,967","154,656","150,108","151,598","153,243","162,060","167,342","151,033","161,437","161,459","162,649","169,610","7,918","9,653","10,597","9,941","9,241","8,429",,mtp03_20210510_131840.bmp
4121,"157,369","155,472","106,134","149,075","146,840","147,578","158,814","154,215","150,051","151,583","153,169","161,953","167,184","151,007","161,189","161,305","162,166","169,519","7,879","9,590","10,589","9,934","9,177","8,361",,mtp03_20210510_135126.bmp
"4155,5","157,353","155,460","106,567","148,845","146,171","147,614","158,638","154,172","149,257","151,563","153,297","161,471","167,173","150,567","160,915","161,306","162,062","169,414","7,915","9,643","10,581","9,951","9,243","8,453",,mtp03_20210510_142553.bmp
"4185,5","157,261","155,146","106,003","148,449","146,034","146,735","158,174","153,982","149,438","151,237","153,277","160,877","166,745","150,200","161,062","161,197","162,154","169,449","7,887","9,649","10,567","9,971","9,241","8,461",,mtp03_20210510_145554.bmp
"4215,5","157,079","155,226","106,000","147,951","144,901","147,078","158,473","153,859","149,059","151,214","153,036","160,871","166,696","149,622","160,982","161,140","161,950","169,247","7,895","9,657","10,587","9,962","9,232","8,442",,mtp03_20210510_152554.bmp
"4245,5","157,295","155,059","105,521","147,850","144,990","145,979","157,740","153,797","148,359","150,853","153,126","160,737","166,679","149,248","160,902","161,042","161,925","169,121","7,920","9,641","10,593","9,965","9,185","8,397",,mtp03_20210510_155553.bmp
"4275,5","157,301","155,059","104,523","147,573","144,539","145,838","157,643","153,174","148,358","150,755","152,648","160,406","166,402","149,178","160,882","161,086","161,840","169,076","7,928","9,631","10,566","9,921","9,190","8,364",,mtp03_20210510_162555.bmp
"4305,5","157,412","154,974","105,044","147,882","144,112","144,933","157,737","153,121","147,909","150,679","152,368","160,087","166,568","148,610","160,537","160,900","161,675","169,053","7,914","9,622","10,548","9,965","9,187","8,418",,mtp03_20210510_165554.bmp
"4335,5","157,620","154,888","105,423","147,440","143,189","144,794","157,278","152,944","147,954","150,529","152,315","160,326","166,292","148,781","160,473","160,670","161,590","169,027","7,953","9,651","10,601","9,963","9,251","8,522",,mtp03_20210510_172554.bmp
"4365,5","157,245","154,827","105,458","146,942","143,821","144,371","156,786","152,893","147,774","150,198","152,225","160,174","165,888","148,363","160,369","160,790","161,579","169,007","7,898","9,669","10,584","9,950","9,295","8,431",,mtp03_20210510_175555.bmp
"4398,25","157,084","154,782","105,077","146,258","143,759","143,511","156,579","152,543","147,455","149,892","152,149","159,688","165,801","148,070","160,323","160,718","161,288","168,855","7,906","9,666","10,581","9,958","9,205","8,439",,mtp03_20210510_182849.bmp
"4428,25","157,205","154,922","105,289","146,254","143,061","143,152","156,802","152,524","146,548","150,021","151,885","159,290","166,027","147,810","160,118","160,327","161,066","168,774","7,904","9,615","10,587","9,894","9,193","8,393",,mtp03_20210510_185850.bmp
"4458,5","157,142","154,801","104,735","146,164","142,662","142,483","156,632","152,228","146,606","149,928","151,739","159,074","165,708","147,150","160,160","160,328","161,177","168,630","7,884","9,621","10,620","9,956","9,206","8,430",,mtp03_20210510_192851.bmp
"4488,25","156,853","154,708","104,679","145,400","142,060","142,257","155,979","152,237","146,291","149,343","151,380","158,821","165,380","147,571","160,000","160,144","160,979","168,582","7,888","9,663","10,590","9,963","9,235","8,422",,mtp03_20210510_195850.bmp
"4518,5","157,252","154,868","104,961","145,846","141,410","141,327","156,263","152,094","146,455","149,062","151,615","158,984","165,645","146,868","159,706","160,154","160,960","168,481","7,922","9,646","10,572","9,931","9,217","8,440",,mtp03_20210510_202851.bmp
"4548,5","157,062","154,773","103,769","145,500","141,378","141,000","156,136","151,846","146,117","149,399","151,350","158,376","165,329","146,398","159,293","160,011","160,834","168,386","7,939","9,647","10,537","9,951","9,221","8,431",,mtp03_20210510_205851.bmp
"4578,5","157,137","154,650","104,465","144,841","140,861","140,214","155,569","151,600","145,763","149,049","151,117","158,611","164,956","146,240","159,772","160,044","160,802","168,396","7,894","9,648","10,579","9,963","9,229","8,456",,mtp03_20210510_212851.bmp
"4608,25","156,939","154,503","103,249","144,758","140,320","140,071","155,303","151,547","145,590","148,881","150,791","158,038","164,906","145,339","159,383","159,889","160,553","168,317","7,897","9,652","10,610","9,959","9,270","8,459",,mtp03_20210510_215850.bmp
"4638,5","157,002","154,738","104,763","144,378","140,449","138,968","155,880","151,298","145,402","148,880","150,828","157,813","164,745","145,841","159,373","159,840","160,495","168,142","7,929","9,652","10,563","9,946","9,234","8,504",,mtp03_20210510_222851.bmp
"4668,25","157,187","154,550","104,339","144,467","139,553","138,625","155,275","151,379","145,011","148,979","150,979","157,838","164,675","145,776","159,230","159,758","160,406","168,126","7,889","9,633","10,557","9,937","9,200","8,409",,mtp03_20210510_225850.bmp
"4698,25","157,290","154,558","104,344","143,800","139,240","138,511","155,470","151,172","144,736","148,553","151,018","157,995","164,722","145,427","159,028","159,633","160,354","168,012","7,890","9,658","10,560","9,947","9,230","8,433",,mtp03_20210510_232850.bmp
"4728,5","157,027","154,481","103,974","143,242","138,866","138,285","155,143","150,577","144,508","148,468","150,767","157,296","164,396","144,792","159,175","159,465","160,311","167,968","7,949","9,639","10,568","9,946","9,223","8,426",,mtp03_20210510_235852.bmp
"4758,5","157,071","154,590","103,766","143,341","138,720","138,003","155,229","150,755","144,359","148,364","150,567","157,139","163,958","144,365","159,031","159,524","160,186","167,823","7,877","9,656","10,578","9,947","9,191","8,443",,mtp03_20210511_002851.bmp
"4788,5","157,327","154,405","103,973","143,077","138,390","137,246","155,131","150,341","144,083","148,208","150,536","157,046","164,262","144,471","159,087","159,394","160,070","167,999","7,917","9,631","10,527","9,934","9,233","8,424",,mtp03_20210511_005851.bmp
"4818,5","157,037","154,439","104,373","142,683","138,858","137,160","155,140","150,523","143,655","148,375","150,372","157,151","163,721","144,052","158,997","159,381","159,901","167,798","7,910","9,635","10,585","9,949","9,204","8,356",,mtp03_20210511_012851.bmp
"4848,5","156,887","154,274","103,661","141,995","138,416","136,053","154,693","150,290","143,625","147,720","150,153","156,706","163,785","143,543","158,735","159,246","159,940","167,845","7,839","9,588","10,513","9,879","9,166","8,389",,mtp03_20210511_015851.bmp
"4878,5","157,130","154,539","103,105","142,003","138,088","135,826","154,726","150,260","143,509","147,759","150,093","157,106","163,660","143,467","158,728","159,185","159,768","167,711","7,865","9,589","10,558","9,923","9,199","8,409",,mtp03_20210511_022851.bmp
"4908,5","157,088","154,304","103,186","142,089","137,912","135,599","154,507","150,134","143,054","148,108","150,071","156,637","163,111","143,212","158,731","159,242","159,839","167,614","7,871","9,571","10,553","9,931","9,215","8,415",,mtp03_20210511_025852.bmp
"4938,5","157,172","154,464","103,941","141,901","137,744","134,994","154,488","150,118","143,509","147,923","150,067","156,731","163,008","143,179","158,710","159,155","159,729","167,743","7,865","9,628","10,565","9,957","9,209","8,435",,mtp03_20210511_032852.bmp
"4968,5","157,082","154,609","104,010","141,825","136,897","134,770","154,529","149,811","143,253","147,872","149,922","156,432","162,909","142,925","158,519","159,115","159,639","167,641","7,912","9,658","10,580","9,969","9,225","8,448",,mtp03_20210511_035852.bmp
"4998,5","157,176","154,500","103,946","141,340","137,169","134,178","154,492","149,679","143,045","147,577","149,969","156,308","162,872","142,580","158,494","159,040","159,518","167,520","7,940","9,670","10,595","9,967","9,262","8,408",,mtp03_20210511_042852.bmp
"5028,5","157,187","154,755","103,887","141,039","136,570","134,044","154,296","149,470","142,648","147,179","149,888","156,207","162,204","142,425","158,428","158,886","159,344","167,347","7,888","9,643","10,578","9,944","9,216","8,422",,mtp03_20210511_045851.bmp
"5058,5","157,246","154,800","103,223","140,762","136,467","133,721","154,002","149,701","142,599","147,455","149,983","156,075","162,449","142,133","158,449","158,674","159,198","167,373","7,886","9,647","10,524","9,938","9,224","8,412",,mtp03_20210511_052852.bmp
"5088,5","157,198","154,728","103,465","140,252","136,006","133,157","154,142","149,490","142,264","147,198","149,758","155,848","162,508","141,641","158,417","158,616","159,199","167,396","7,899","9,603","10,547","9,926","9,238","8,357",,mtp03_20210511_055851.bmp
"5118,5","156,940","154,684","103,563","140,269","135,668","132,994","154,029","149,133","141,936","147,283","149,706","155,605","162,140","141,658","158,275","158,687","159,151","167,458","7,911","9,652","10,556","9,913","9,254","8,423",,mtp03_20210511_062851.bmp
"5148,5","157,109","154,798","102,857","140,047","135,177","131,890","153,769","149,173","141,717","147,131","149,407","155,324","162,096","141,054","158,313","158,849","159,099","167,317","7,867","9,654","10,564","9,958","9,214","8,460",,mtp03_20210511_065852.bmp
"5178,5","157,209","154,639","102,764","139,682","134,873","131,283","153,496","148,721","141,431","146,658","149,331","155,301","161,778","140,248","158,135","158,665","159,053","167,222","7,847","9,597","10,554","9,933","9,188","8,443",,mtp03_20210511_072852.bmp
"5208,5","157,051","154,687","103,156","139,499","134,574","131,392","153,231","148,895","141,518","146,714","149,277","155,410","161,091","140,494","158,224","158,565","158,886","167,270","7,882","9,580","10,546","9,953","9,212","8,361",,mtp03_20210511_075852.bmp
"5239,25","157,049","154,716","103,613","139,063","134,554","130,260","153,298","148,501","141,385","146,820","149,326","155,448","160,947","140,391","158,179","158,371","158,836","167,111","7,914","9,641","10,557","9,944","9,260","8,433",,mtp03_20210511_082941.bmp
"5269,25","157,135","154,556","103,364","138,879","134,290","130,715","152,812","148,802","141,175","146,764","149,149","155,386","160,920","139,900","158,080","158,418","158,877","167,232","7,872","9,631","10,520","9,940","9,215","8,398",,mtp03_20210511_085940.bmp
"5299,25","157,338","154,696","102,934","138,522","133,872","129,725","153,080","148,476","141,267","146,519","149,139","155,126","161,182","139,708","158,064","158,341","158,685","167,079","7,880","9,625","10,573","9,946","9,229","8,459",,mtp03_20210511_092942.bmp
"5329,25","157,339","154,481","103,629","138,356","132,927","128,758","152,695","148,330","140,909","146,237","148,967","154,580","160,566","139,328","157,973","158,305","158,503","166,928","7,879","9,623","10,533","9,891","9,193","8,384",,mtp03_20210511_095942.bmp
"5359,25","157,255","154,658","102,948","138,131","133,275","128,703","152,811","148,035","140,876","145,940","149,061","154,653","160,436","139,067","157,947","158,369","158,746","167,152","7,896","9,672","10,571","9,945","9,231","8,432",,mtp03_20210511_102942.bmp
"5389,25","157,174","154,876","103,261","137,737","132,415","128,786","152,705","148,135","140,704","146,027","149,082","154,636","160,449","138,885","157,788","158,187","158,498","167,122","7,898","9,647","10,617","9,951","9,187","8,410",,mtp03_20210511_105941.bmp
"5419,25","157,304","154,812","103,201","137,414","130,739","128,439","152,514","147,888","140,370","146,039","148,936","154,462","160,198","138,251","157,542","158,206","158,422","166,958","7,927","9,679","10,577","9,967","9,242","8,470",,mtp03_20210511_112941.bmp
"5449,25","157,316","154,862","103,310","137,299","131,244","127,333","152,530","147,989","140,449","145,770","148,930","154,373","160,150","138,315","157,627","158,025","158,386","166,818","7,898","9,605","10,549","9,933","9,206","8,422",,mtp03_20210511_115942.bmp
"5479,25","157,416","154,645","102,641","136,857","130,766","127,587","152,350","147,759","140,244","145,769","148,729","154,325","159,507","137,816","157,519","158,079","158,216","166,789","7,904","9,604","10,576","9,937","9,196","8,410",,mtp03_20210511_122941.bmp
"5511,25","157,425","154,824","102,642","136,628","131,092","127,188","152,376","147,621","139,988","145,711","148,932","154,255","159,620","138,028","157,601","157,937","158,188","166,821","7,896","9,583","10,539","9,925","9,206","8,374",,mtp03_20210511_130138.bmp
"5541,25","157,518","154,839","102,615","136,563","131,032","126,839","152,228","147,556","139,900","145,624","148,919","153,766","159,118","137,379","157,359","157,914","158,060","166,652","7,893","9,554","10,537","9,917","9,170","8,333",,mtp03_20210511_133136.bmp
"5571,25","157,300","154,853","102,943","136,224","130,623","126,358","152,190","147,669","139,522","145,353","148,727","153,882","159,457","137,277","157,263","157,984","158,033","166,680","7,874","9,620","10,524","9,933","9,273","8,446",,mtp03_20210511_140137.bmp
"5603,25","157,213","154,783","102,570","136,035","130,613","125,601","152,052","147,308","139,768","145,513","148,591","153,725","159,223","137,054","157,253","157,926","157,941","166,813","7,882","9,635","10,528","9,957","9,182","8,433",,mtp03_20210511_143347.bmp
5637,"157,169","154,921","102,719","135,799","130,155","125,633","152,002","147,509","139,554","145,447","148,653","153,792","159,288","136,900","157,258","157,978","157,899","166,690","7,911","9,652","10,562","9,933","9,228","8,428",,mtp03_20210511_150728.bmp
5667,"157,129","154,639","102,083","135,142","129,830","124,786","151,861","146,919","139,466","145,206","148,306","153,655","159,147","136,257","157,168","158,033","157,877","166,624","7,892","9,623","10,515","9,936","9,198","8,418",,mtp03_20210511_153727.bmp
5697,"157,234","155,043","102,430","135,003","129,832","124,958","151,725","147,261","139,075","145,219","148,385","153,600","158,648","136,033","157,190","157,965","157,808","166,672","7,936","9,671","10,583","9,956","9,230","8,527",,mtp03_20210511_160728.bmp
5727,"157,394","154,863","102,770","134,488","129,588","124,070","151,960","147,053","138,970","145,059","148,390","153,351","158,718","135,952","157,168","157,834","157,810","166,589","7,918","9,665","10,578","9,971","9,238","8,417",,mtp03_20210511_163727.bmp
5757,"157,293","155,008","102,586","134,521","128,928","124,241","151,850","146,979","138,949","145,078","148,185","152,943","158,518","135,688","157,085","157,838","157,848","166,669","7,898","9,647","10,552","9,938","9,201","8,451",,mtp03_20210511_170728.bmp
5787,"157,304","154,942","102,473","134,106","129,150","124,100","151,795","146,882","138,740","144,922","148,269","153,234","158,357","135,489","157,021","157,798","157,725","166,550","7,937","9,610","10,576","9,924","9,227","8,436",,mtp03_20210511_173728.bmp
5817,"157,314","155,059","102,539","133,668","129,106","122,460","151,654","146,796","138,596","144,998","148,140","152,779","157,954","135,079","156,995","157,618","157,675","166,393","7,882","9,624","10,534","9,927","9,197","8,465",,mtp03_20210511_180727.bmp
5847,"157,302","155,066","102,281","133,509","128,735","123,429","151,794","146,800","138,529","144,769","148,065","152,697","157,936","135,012","156,952","157,626","157,546","166,480","7,907","9,652","10,538","9,913","9,205","8,438",,mtp03_20210511_183729.bmp
5877,"157,186","154,863","102,231","133,265","128,184","122,583","151,583","146,428","138,338","144,858","147,834","152,765","157,982","134,481","156,752","157,630","157,359","166,389","7,877","9,619","10,532","9,878","9,183","8,430",,mtp03_20210511_190728.bmp
5907,"157,246","154,924","102,107","132,771","128,118","122,816","151,595","146,567","138,206","144,807","147,940","152,600","157,827","134,272","156,839","157,577","157,483","166,372","7,882","9,636","10,508","9,939","9,219","8,392",,mtp03_20210511_193729.bmp
5937,"157,233","155,034","102,453","132,400","128,070","122,352","151,479","146,379","138,116","144,751","147,792","152,439","157,427","133,856","156,742","157,654","157,344","166,290","7,902","9,587","10,529","9,882","9,199","8,396",,mtp03_20210511_200729.bmp
5967,"157,388","154,985","102,461","132,442","127,788","122,162","151,415","146,388","138,021","144,899","147,742","152,445","157,649","133,711","156,651","157,566","157,248","166,402","7,938","9,654","10,558","9,963","9,225","8,478",,mtp03_20210511_203729.bmp
"5998,25","157,233","154,758","102,432","132,294","127,112","121,784","151,304","146,316","137,834","144,659","147,628","152,181","157,082","133,486","156,468","157,445","157,236","166,231","7,857","9,619","10,506","9,893","9,274","8,401",,mtp03_20210511_210836.bmp
"6028,25","157,177","154,903","102,112","132,180","127,423","121,408","150,887","145,902","137,736","144,602","147,508","151,963","157,381","133,094","156,561","157,497","157,114","166,128","7,936","9,662","10,568","9,923","9,284","8,415",,mtp03_20210511_213837.bmp
6058,"157,034","155,043","101,848","131,208","127,058","121,316","151,019","145,786","137,639","144,363","147,500","151,850","157,139","132,612","156,452","157,440","157,155","166,262","7,921","9,663","10,545","9,949","9,287","8,458",,mtp03_20210511_220835.bmp
"6088,25","157,311","155,141","102,011","131,708","127,198","120,975","150,939","145,839","137,691","144,431","147,451","151,733","157,043","132,647","156,380","157,424","157,080","166,234","7,889","9,675","10,529","9,958","9,300","8,459",,mtp03_20210511_223837.bmp
"6118,25","157,356","154,908","102,137","131,546","126,614","120,527","150,630","145,806","137,518","144,457","147,339","151,632","156,457","132,128","156,359","157,392","157,029","166,270","7,896","9,681","10,534","9,946","9,279","8,447",,mtp03_20210511_230836.bmp
6148,"157,165","154,936","102,063","131,424","126,536","120,094","150,561","145,427","137,283","144,285","147,353","151,732","156,473","132,042","156,310","157,395","156,868","166,091","7,953","9,693","10,548","9,929","9,322","8,456",,mtp03_20210511_233835.bmp
"6178,25","157,317","155,034","102,016","131,121","126,623","120,423","150,938","145,423","137,164","144,404","147,136","151,744","156,468","131,560","156,377","157,339","156,973","166,027","7,917","9,668","10,522","9,936","9,308","8,453",,mtp03_20210512_000836.bmp
"6208,25","157,190","154,898","102,283","130,604","126,299","119,423","150,039","145,201","137,150","144,229","147,148","151,588","155,968","131,175","156,343","157,467","156,776","166,135","7,914","9,678","10,549","9,937","9,312","8,462",,mtp03_20210512_003836.bmp
"6238,25","157,005","155,030","102,040","130,564","126,280","118,699","150,690","145,308","136,981","144,198","146,973","151,501","155,987","130,692","156,277","157,419","156,865","166,127","7,946","9,685","10,540","9,951","9,270","8,429",,mtp03_20210512_010836.bmp
"6268,75","157,115","155,008","101,564","130,481","125,771","119,647","150,360","145,162","136,613","144,091","147,110","151,413","155,682","130,487","156,252","157,320","156,672","166,093","7,838","9,633","10,552","9,866","9,275","8,381",,mtp03_20210512_013912.bmp
"6298,75","157,200","155,012","101,974","130,201","125,439","119,228","149,380","145,660","136,475","143,838","147,351","151,465","154,996","130,195","156,222","157,421","156,739","166,207","7,911","9,658","10,586","9,936","9,287","8,442",,mtp03_20210512_020911.bmp
"6328,75","157,200","154,795","101,987","130,328","125,913","119,140","150,606","145,494","136,668","143,897","147,246","151,431","154,920","130,043","156,329","157,307","156,728","166,104","7,903","9,639","10,534","9,913","9,295","8,457",,mtp03_20210512_023912.bmp
"6358,75","157,369","155,042","102,063","129,963","125,135","118,808","150,545","145,335","136,689","143,874","147,143","151,193","154,954","130,018","156,085","157,235","156,644","166,195","7,911","9,640","10,549","9,941","9,294","8,424",,mtp03_20210512_030912.bmp
"6388,75","157,185","154,906","101,647","129,627","125,115","117,781","150,223","144,803","136,557","143,672","147,205","151,091","154,117","129,284","156,083","157,211","156,576","166,014","7,894","9,649","10,522","9,941","9,293","8,381",,mtp03_20210512_033911.bmp
"6418,75","157,210","154,879","101,590","129,950","125,372","117,995","150,487","145,363","136,318","143,637","147,232","150,936","154,762","129,146","156,080","157,229","156,617","166,116","7,925","9,641","10,508","9,914","9,287","8,463",,mtp03_20210512_040912.bmp
"6448,75","157,204","154,935","101,591","129,239","124,976","117,640","150,159","145,142","136,007","143,566","146,933","150,626","154,565","128,847","156,049","157,144","156,449","166,006","7,890","9,668","10,525","9,889","9,271","8,431",,mtp03_20210512_043912.bmp
"6478,75","157,185","154,982","101,635","128,957","124,643","117,773","150,323","144,874","135,795","143,655","147,008","150,460","154,695","128,615","156,080","157,255","156,621","166,067","7,929","9,651","10,547","9,901","9,277","8,476",,mtp03_20210512_050912.bmp
"6508,75","157,249","155,001","101,378","129,314","124,747","116,809","150,242","145,039","136,062","143,808","146,895","150,926","153,966","128,195","156,000","157,192","156,320","165,900","7,876","9,630","10,533","9,904","9,248","8,359",,mtp03_20210512_053913.bmp
